"ID","oc_coffee_doll","NPV_restoration","total_bags","area_coffe_field_ha","group","total_bags_presente","bags_dif","yield_reais_pres","yield_reais_futur","dif_reais","NPV_yield_r","NPV_yield_d","NPV_yield_r_n.progr","NPV_yield_d_n.progr","NPV_yield_r_pres","NPV_yield_d_pres","CARedit","area_rest_ha","total_cost","NUM_MODULO","Sobreposicao","Area_Propriedade_ha","X","Y","APP_area_ha","RL_area_ha","CD_GEOCMU","regiao","Veg_area_ha","PropRL","PropVeg","Cafe_ha","Prop_coffee","Shape_Length","Shape_Area","Perimeter_Area","APPRast_ha","PropAPPrast","Veg_posrest_ha","PropVegposrest","target","compensation_costs","scale","Potential_comp_gain","restor_cost","TonC","rest_desc","restor_cost_f"
"MG-3123601-ED2AD07932D34795B049FAD65ABC97D4indiv30",834.440452967201,19417.4249265185,1682.19000000008,64.1700000000032,"Scenarios",2079.54000000004,-397.34999999996,889375.920386417,719437.606160434,-169938.314225983,-1668479.41924413,-519106.018793249,-1668479.41924413,-519106.018793249,8732023.88698972,2716752.813191,"MG-3123601-ED2AD07932D34795B049FAD65ABC97D4",57.24,145565.602415771,7.5,0.0171562426324211,194.871490478516,434356.625,7620879,13.7405424118042,32.5974273681641,3123601,3105,1.55254983901978,0.167276531457901,0.00796704459935427,64.2375030517578,0.329640328884125,7485.78111408985,1948714.97485802,0.00384139362722635,11.3400001525879,0.0581921972334385,58.7925498390198,0.301699082275462,"indiv30",0,"farm-level",9598.32006141252,126148.177489252,4773.45865196228,0.474663573243342,59877.9446851837
"MG-3123601-ED2AD07932D34795B049FAD65ABC97D4indiv40",1773.1859625567,24730.5629489318,2054.07000000015,63.3600000000052,"Scenarios",2079.54000000004,-25.4699999998902,889375.920386417,878482.932181264,-10892.988205153,-106948.963905799,-33274.5194377964,-106948.963905799,-33274.5194377964,8732023.88698972,2716752.813191,"MG-3123601-ED2AD07932D34795B049FAD65ABC97D4",76.86,194944.282064209,7.5,0.0171562426324211,194.871490478516,434356.625,7620879,13.7405424118042,32.5974273681641,3123601,3105,1.55254983901978,0.167276531457901,0.00796704459935427,64.2375030517578,0.329640328884125,7485.78111408985,1948714.97485802,0.00384139362722635,11.3400001525879,0.0581921972334385,78.4125498390198,0.40238081848953,"indiv40",0,"farm-level",40583.5201315273,170213.719115277,6436.69299659729,0.45425185249145,77319.897227574
"MG-3123601-ED2AD07932D34795B049FAD65ABC97D4int20",0,6914.49003891301,1789.56000000003,64.8900000000017,"Scenarios",2079.54000000004,-289.98000000001,889375.920386417,765357.517569613,-124018.402816804,-1217630.96009181,-378835.694802283,-1217630.96009181,-378835.694802283,8732023.88698972,2716752.813191,"MG-3123601-ED2AD07932D34795B049FAD65ABC97D4",11.07,40207.1882080078,7.5,0.0171562426324211,194.871490478516,434356.625,7620879,13.7405424118042,32.5974273681641,3123601,3105,1.55254983901978,0.167276531457901,0.00796704459935427,64.2375030517578,0.329640328884125,7485.78111408985,1948714.97485802,0.00384139362722635,11.3400001525879,0.0581921972334385,12.6225498390198,0.0647737121937362,"int20",41623.5187362891,"regional-level",0,33292.6981690948,916.384500274658,0.633301256931665,21084.3075971343
"MG-3123601-ED2AD07932D34795B049FAD65ABC97D4int30",0,6914.49003891301,1739.43000000003,64.8900000000017,"Scenarios",2079.54000000004,-340.11000000001,889375.920386417,743917.961278813,-145457.959107604,-1428127.68410519,-444326.533413351,-1428127.68410519,-444326.533413351,8732023.88698972,2716752.813191,"MG-3123601-ED2AD07932D34795B049FAD65ABC97D4",11.07,40207.1882080078,7.5,0.0171562426324211,194.871490478516,434356.625,7620879,13.7405424118042,32.5974273681641,3123601,3105,1.55254983901978,0.167276531457901,0.00796704459935427,64.2375030517578,0.329640328884125,7485.78111408985,1948714.97485802,0.00384139362722635,11.3400001525879,0.0581921972334385,12.6225498390198,0.0647737121937362,"int30",45714.8630411941,"regional-level",0,33292.6981690948,916.384500274658,0.633301256931665,21084.3075971343
"MG-3123601-ED2AD07932D34795B049FAD65ABC97D4int40",0,7231.32854483674,1344.69000000002,64.8900000000017,"Scenarios",2079.54000000004,-734.85000000002,889375.920386417,575095.889660408,-314280.030726009,-3085647.66888564,-960022.795797832,-3085647.66888564,-960022.795797832,8732023.88698972,2716752.813191,"MG-3123601-ED2AD07932D34795B049FAD65ABC97D4",12.24,42260.1415576172,7.5,0.0171562426324211,194.871490478516,434356.625,7620879,13.7405424118042,32.5974273681641,3123601,3105,1.55254983901978,0.167276531457901,0.00796704459935427,64.2375030517578,0.329640328884125,7485.78111408985,1948714.97485802,0.00384139362722635,11.3400001525879,0.0581921972334385,13.7925498390198,0.0707776689404466,"int40",43265.4478929422,"regional-level",0,35028.8130127805,1008.7442351532,0.620617673486218,21739.5004369756
"MG-3123601-ED2AD07932D34795B049FAD65ABC97D4present",0,0,2079.54000000004,64.8900000000017,"Present",2079.54000000004,0,889375.920386417,889375.920386417,0,0,0,0,0,8732023.88698972,2716752.813191,"MG-3123601-ED2AD07932D34795B049FAD65ABC97D4",0,0,7.5,0.0171562426324211,194.871490478516,434356.625,7620879,13.7405424118042,32.5974273681641,3123601,3105,1.55254983901978,0.167276531457901,0.00796704459935427,64.2375030517578,0.329640328884125,7485.78111408985,1948714.97485802,0.00384139362722635,11.3400001525879,0.0581921972334385,1.55254983901978,0.00796704459935427,"present",0,"present",0,0,0,0,0
"MG-3126307-2D1789897581411A86E87DBF9E1A8CAAindiv10",0,0,5198.04000000004,115.110000000001,"Scenarios",4609.80000000006,588.23999999998,1971515.39176803,2223093.38084642,251577.989078392,914814.243197099,284621.778515279,2470029.78124132,768488.547867024,19356628.7324336,6022335.28484559,"MG-3126307-2D1789897581411A86E87DBF9E1A8CAA",0,0,16.32,0.000210259,456.9242554,316158.125,7690961,0,93.41473389,3126307,3105,164.5045471,0.204442486,0.360025853,115.0425034,0.251775861,10258.39395,4569242.656,0.002245097,0,0,164.5045471,0.36002585801883,"indiv10",0,"farm-level",115475.454140961,0,0,0,0
"MG-3126307-2D1789897581411A86E87DBF9E1A8CAAindiv20",0,0,4000.23000000003,115.110000000001,"Scenarios",4609.80000000006,-609.57000000003,1971515.39176803,1710815.00620681,-260700.385561213,-2559594.81461885,-796354.488173773,-2559594.81461885,-796354.488173773,19356628.7324336,6022335.28484559,"MG-3126307-2D1789897581411A86E87DBF9E1A8CAA",0,0,16.32,0.000210258984041156,456.924255371094,316158.125,7690961,0,93.4147338867188,3126307,3105,164.504547119141,0.204442486166954,0.360025852918625,115.042503356934,0.251775860786438,10258.3939504334,4569242.65623261,0.00224509718827903,0,0,164.504547119141,0.360025858083497,"indiv20",0,"farm-level",115475.45418032,0,0,0,0
"MG-3126307-2D1789897581411A86E87DBF9E1A8CAAindiv30",0,0,4002.84000000004,115.110000000001,"Scenarios",4609.80000000006,-606.96000000002,1971515.39176803,1711931.24881442,-259584.142953609,-2548635.38015492,-792944.731764925,-2548635.38015492,-792944.731764925,19356628.7324336,6022335.28484559,"MG-3126307-2D1789897581411A86E87DBF9E1A8CAA",0,0,16.32,0.000210258984041156,456.924255371094,316158.125,7690961,0,93.4147338867188,3126307,3105,164.504547119141,0.204442486166954,0.360025852918625,115.042503356934,0.251775860786438,10258.3939504334,4569242.65623261,0.00224509718827903,0,0,164.504547119141,0.360025858083497,"indiv30",0,"farm-level",115475.45418032,0,0,0,0
"MG-3126307-2D1789897581411A86E87DBF9E1A8CAAindiv40",1040.90102442831,1482.84301518544,3345.0300000001,114.300000000003,"Scenarios",4609.80000000006,-1264.76999999996,1971515.39176803,1430599.62057484,-540915.771193183,-5310790.77658878,-1652320.92459842,-5310790.77658878,-1652320.92459842,19356628.7324336,6022335.28484559,"MG-3126307-2D1789897581411A86E87DBF9E1A8CAA",18.36,25708.6854766846,16.32,0.000210258984041156,456.924255371094,316158.125,7690961,0,93.4147338867188,3126307,3105,164.504547119141,0.204442486166954,0.360025852918625,115.042503356934,0.251775860786438,10258.3939504334,4569242.65623261,0.00224509718827903,0,0,182.864547119141,0.400207572632856,"indiv40",0,"farm-level",144470.779016574,24225.8424614992,1541.22038223267,0.574207294155736,13910.6554484606
"MG-3126307-2D1789897581411A86E87DBF9E1A8CAAint20",0,0,3804.57000000005,115.110000000001,"Scenarios",4609.80000000006,-805.23000000001,1971515.39176803,1627135.30176122,-344380.090006804,-3381174.48787746,-1051968.64102916,-3381174.48787746,-1051968.64102916,19356628.7324336,6022335.28484559,"MG-3126307-2D1789897581411A86E87DBF9E1A8CAA",0,0,16.32,0.000210258984041156,456.924255371094,316158.125,7690961,0,93.4147338867188,3126307,3105,164.504547119141,0.204442486166954,0.360025852918625,115.042503356934,0.251775860786438,10258.3939504334,4569242.65623261,0.00224509718827903,0,0,164.504547119141,0.360025858083496,"int20",0,"regional-level",115475.45418032,0,0,0,0
"MG-3126307-2D1789897581411A86E87DBF9E1A8CAAint30",0,79.9572214070579,3813.75000000005,115.110000000001,"Scenarios",4609.80000000006,-796.05000000001,1971515.39176803,1631061.39645002,-340453.995318004,-3342627.51148722,-1039975.70469464,-3342627.51148722,-1039975.70469464,19356628.7324336,6022335.28484559,"MG-3126307-2D1789897581411A86E87DBF9E1A8CAA",0.99,433.822725219727,16.32,0.000210258984041156,456.924255371094,316158.125,7690961,0,93.4147338867188,3126307,3105,164.504547119141,0.204442486166954,0.360025852918625,115.042503356934,0.251775860786438,10258.3939504334,4569242.65623261,0.00224509718827903,0,0,165.494547119141,0.362192519162138,"int30",0,"regional-level",116297.411832874,353.865503812669,84.3439780426025,1,353.865503812669
"MG-3126307-2D1789897581411A86E87DBF9E1A8CAAint40",3624.9814897142,4070.54945345022,4619.6100000002,112.500000000005,"Scenarios",4609.80000000006,9.81000000013955,1971515.39176803,1975710.92432769,4195.5325596598,15256.2350841353,4746.5994275717,41192.3571234929,12815.9809851136,19356628.7324336,6022335.28484559,"MG-3126307-2D1789897581411A86E87DBF9E1A8CAA",50.4,80129.3324578857,16.32,0.000210258984041156,456.924255371094,316158.125,7690961,0,93.4147338867188,3126307,3105,164.504547119141,0.204442486166954,0.360025852918625,115.042503356934,0.251775860786438,10258.3939504334,4569242.65623261,0.00224509718827903,0,0,214.904547119141,0.470328603905268,"int40",0,"regional-level",124474.029009003,76058.7830044355,4270.85765304565,0.484055348825601,36816.6607384627
"MG-3126307-2D1789897581411A86E87DBF9E1A8CAApresent",0,0,4609.80000000006,115.110000000001,"Present",4609.80000000006,0,1971515.39176803,1971515.39176803,0,0,0,0,0,19356628.7324336,6022335.28484559,"MG-3126307-2D1789897581411A86E87DBF9E1A8CAA",0,0,16.32,0.000210258984041156,456.924255371094,316158.125,7690961,0,93.4147338867188,3126307,3105,164.504547119141,0.204442486166954,0.360025852918625,115.042503356934,0.251775860786438,10258.3939504334,4569242.65623261,0.00224509718827903,0,0,164.504547119141,0.360025852918625,"present",0,"present",0,0,0,0,0
