"codigo_ibg","yield","FC_m","FC2km","FC500m","PollinatorD","EUdist","ID"
3140530,40.44444444,0.327333333,0.341,0.322333333,0.3,65.64772489,"other municipalities"
3140555,20.66111111,0.128,0.134666667,0.126666667,0.3,162.7105709,"other municipalities"
3140803,6.25,0.2595,0.1345,0.2195,0.3,149.5269408,"other municipalities"
3140902,21,0.217,0.215,0.209666667,0.3,107.1386193,"other municipalities"
3141405,8.45,0.316333333,0.426333333,0.459666667,0.3,95.3942735,"other municipalities"
3141504,15,0.018666667,0.023666667,0.042333333,0.7,568.7945634,"other municipalities"
3142106,30.44444444,0.229333333,0.227333333,0.23,0.3,92.69537077,"other municipalities"
3142205,19,0.116666667,0.137333333,0.118333333,0.3,215.3195559,"other municipalities"
3142601,20,0.054666667,0.054333333,0.058,0.3,294.5925957,"other municipalities"
3143005,21.16666667,0.078333333,0.082,0.082666667,0.3,207.7123675,"study area"
3143153,7.5,0.382,0.404666667,0.197333333,0.3,150.5768862,"other municipalities"
3143401,16.66666667,0.099666667,0.12,0.112,0.3,204.7776903,"study area"
3143906,22,0.136,0.211333333,0.193333333,0.3,152.7166635,"other municipalities"
3144003,24.05555556,0.171333333,0.239,0.279333333,0.354,106.9256143,"other municipalities"
3144102,21.2,0.075666667,0.088,0.085,0.3,197.1023661,"other municipalities"
3144409,24,0.141333333,0.131,0.105666667,0.3,228.5904494,"study area"
3144508,25,0.075333333,0.095333333,0.097666667,0.3,209.2992655,"other municipalities"
3144607,26.33333333,0.068,0.070666667,0.065,0.3,253.88831,"other municipalities"
3144672,14.40555556,0.127666667,0.127,0.112333333,0.5,181.3839722,"other municipalities"
3145109,36.3,0.104666667,0.107333333,0.106666667,0.3,173.9119714,"study area"
3145307,13.33333333,0.299,0.362,0.284,0.3,124.791822,"other municipalities"
3145505,18,0.153333333,0.207333333,0.195333333,0.3,138.6576137,"other municipalities"
3145604,23.33333333,0.119,0.161,0.156,0.3,141.7868377,"other municipalities"
3145877,23.66666667,0.266333333,0.267,0.227333333,0.3,108.4562998,"other municipalities"
3146008,23,0.122666667,0.141333333,0.139333333,0.3,148.5391121,"study area"
3146107,20,0.411,0.445333333,0.196,0.3,178.4392526,"other municipalities"
3146206,13,0.131666667,0.131,0.154666667,0.3,160.5656915,"other municipalities"
3146305,13.00555556,0.41,0.54,0.239333333,0.3,37.96057388,"other municipalities"
3147204,20.33333333,0.069666667,0.067666667,0.067333333,0.3,341.9814024,"other municipalities"
3147303,17.65,0.103666667,0.131,0.113,0.3,118.6651347,"other municipalities"
3147709,30,0.136,0.103,0.102666667,0.3,155.2542154,"other municipalities"
3148301,22.66666667,0.314666667,0.300333333,0.269333333,0.3,121.3202944,"other municipalities"
3148608,11.66666667,0.326,0.323666667,0.348666667,0.3,100.7739721,"other municipalities"
3148707,15,0.340666667,0.22,0.159333333,0.3,226.7634508,"other municipalities"
3148756,17.33333333,0.276666667,0.268666667,0.232,0.3,101.9861116,"other municipalities"
3148806,20,0.171,0.215333333,0.214,0.3,126.9328576,"other municipalities"
3149002,18.44444444,0.322333333,0.279666667,0.195666667,0.3,146.7373579,"other municipalities"
3149101,26.66666667,0.152,0.158,0.146333333,0.3,140.8859954,"study area"
3149903,25.33333333,0.036333333,0.042,0.044666667,0.3,326.4856234,"other municipalities"
3150158,20,0.332,0.335,0.358666667,0.3,50.09990227,"other municipalities"
3150604,22.32777778,0.084,0.08,0.078333333,0.3,236.1643923,"other municipalities"
3150802,18.33888889,0.387666667,0.316666667,0.328333333,0.3,69.81261919,"other municipalities"
3150901,18.88888889,0.277,0.371,0.268666667,0.3,50.74707236,"other municipalities"
3151008,18,0.061333333,0.064333333,0.079333333,0.3,207.8096993,"other municipalities"
3151107,40.52777778,0.041,0.073,0.051,1,357.4337797,"other municipalities"
3151701,21,0.114333333,0.111333333,0.117,0.3,161.9081633,"study area"
3151800,21,0.174,0.19,0.171666667,0.3,142.1527787,"study area"
3151909,36.57777778,0.112333333,0.120666667,0.115333333,0.821,250.2385751,"other municipalities"
3152105,23.66666667,0.225666667,0.217333333,0.212,0.3,136.6729803,"other municipalities"
3152170,9.444444444,0.381,0.243333333,0.238333333,0.3,162.1350597,"other municipalities"
3152303,17.33333333,0.375666667,0.410666667,0.388666667,0.3,83.1877786,"other municipalities"
3152402,11.66666667,0.316,0.233,0.183333333,0.3,126.3564289,"other municipalities"
3152501,19.03333333,0.061666667,0.075666667,0.101333333,0.3,258.8694296,"other municipalities"
3152600,17.32222222,0.143,0.111333333,0.183666667,0.3,89.04268055,"other municipalities"
3152709,45.55555556,0.083333333,0.077,0.051,0.3,238.1407773,"other municipalities"
3153103,20,0.344,0.359333333,0.335333333,0.3,87.61441493,"other municipalities"
3153509,35.11111111,0.382666667,0.362,0.299,0.3,95.0671898,"other municipalities"
3154002,17.98333333,0.193,0.272666667,0.273333333,0.304,88.91528752,"other municipalities"
3154150,25.33333333,0.289,0.299666667,0.275,0.3,88.27829181,"other municipalities"
3154200,38.79444444,0.134666667,0.118666667,0.128333333,0.3,129.0994479,"other municipalities"
3154309,12.73333333,0.043666667,0.014666667,0.040666667,0.93,759.0623117,"other municipalities"
3154705,24.01666667,0.030333333,0.030666667,0.044666667,0.3,312.2262926,"other municipalities"
3156106,26.94444444,0.135666667,0.201666667,0.160666667,0.3,141.1319601,"other municipalities"
3156452,22.86111111,0.233666667,0.207,0.200333333,0.3,135.5041465,"other municipalities"
3156809,11.66666667,0.462333333,0.478,0.409333333,0.3,77.12564455,"other municipalities"
3157203,18.10555556,0.604,0.555666667,0.596666667,0.3,34.00138592,"other municipalities"
3157252,18.33333333,0.358333333,0.351666667,0.308,0.3,60.45189506,"other municipalities"
3157401,11.11111111,0.136,0.115333333,0.104333333,0.3,172.9202947,"other municipalities"
3157906,26.33333333,0.281666667,0.273666667,0.242666667,0.3,91.14928765,"other municipalities"
3158201,11.71666667,0.215,0.208333333,0.279,0.3,47.1275888,"other municipalities"
3158300,23.33333333,0.082666667,0.078666667,0.073666667,0.3,248.5167848,"other municipalities"
3158805,18.33333333,0.123333333,0.126333333,0.114,0.3,198.3319987,"other municipalities"
3158904,22.33333333,0.213,0.242333333,0.255,0.3,83.3322117,"other municipalities"
3159209,27.68888889,0.092,0.102333333,0.098666667,0.3,221.2684949,"other municipalities"
3159357,16.66666667,0.273,0.283333333,0.301333333,0.3,61.8829352,"other municipalities"
3159506,21.85,0.246,0.198,0.177333333,0.717,142.8152617,"other municipalities"
3159605,19,0.129333333,0.146666667,0.156666667,0.3,155.7470546,"study area"
3159902,22,0.163,0.176,0.149333333,0.3,175.2446482,"other municipalities"
3160108,13.23333333,0.187333333,0.203666667,0.197333333,0.3,142.9438809,"other municipalities"
3160306,17.37777778,0.028333333,0.071,0.117,0.3,155.210356,"other municipalities"
3160801,18.66666667,0.069333333,0.087,0.069333333,0.3,233.6774101,"study area"
3160959,24.33333333,0.240333333,0.247,0.270333333,0.3,69.79991293,"other municipalities"
3161007,13.33333333,0.310666667,0.241333333,0.328,0.3,43.11440674,"other municipalities"
3161056,18.86666667,0.039666667,0.042333333,0.072333333,0.602,279.6563502,"other municipalities"
3161205,20,0.177,0.176,0.160333333,0.3,137.4496906,"other municipalities"
3161403,21.66666667,0.141666667,0.145666667,0.161,0.301,154.1143433,"other municipalities"
3161502,18,0.137,0.187,0.214666667,0.3,118.1306638,"other municipalities"
3161650,15.01111111,0.019,0.034666667,0.074333333,0.333,455.5742309,"other municipalities"
3162005,20.66666667,0.096666667,0.124333333,0.111666667,0.3,226.489829,"study area"
3162302,22.33333333,0.093666667,0.104666667,0.101333333,0.3,204.2844263,"other municipalities"
3162500,15.03333333,0.068666667,0.078,0.082666667,0.3,235.3535552,"other municipalities"
3162559,26,0.340333333,0.325,0.295,0.3,70.20057025,"other municipalities"
3162575,7.805555556,0.034333333,0.021333333,0.028666667,0.671,717.994528,"other municipalities"
3162807,11.66666667,0.247,0.195333333,0.246333333,0.3,44.65656976,"other municipalities"
3163201,18.96111111,0.065333333,0.184333333,0.183333333,0.3,145.6084773,"other municipalities"
3163508,11.61666667,0.302333333,0.288,0.277,0.3,87.65833425,"other municipalities"
3163607,21.87777778,0.257,0.251333333,0.255,0.3,86.19241429,"other municipalities"
3163706,22.98333333,0.093333333,0.096333333,0.162666667,0.3,82.69261313,"other municipalities"
3163805,19.33333333,0.220666667,0.237,0.215,0.3,122.719028,"other municipalities"
3163904,30.56666667,0.105333333,0.131333333,0.122666667,0.3,155.2761732,"study area"
3164407,20.33333333,0.079666667,0.130333333,0.125333333,0.3,199.9090526,"study area"
3164431,16.66666667,0.184,0.192333333,0.140666667,0.3,164.5509449,"other municipalities"
